"Parcel.Number","old_height","new_height_rezoning","new_height_housing_choice","height_increase_rezoning","height_increase_housing_choice"
"0010001",40,40,65,FALSE,TRUE
"0010002",40,40,65,FALSE,TRUE
"0011007",40,40,65,FALSE,TRUE
"0011008",40,40,65,FALSE,TRUE
"0012001",40,40,65,FALSE,TRUE
"0012002",40,40,65,FALSE,TRUE
"0012003",40,40,65,FALSE,TRUE
"0012005",40,40,65,FALSE,TRUE
"0012006",40,40,65,FALSE,TRUE
"0012007",40,40,65,FALSE,TRUE
"0013001",40,40,65,FALSE,TRUE
"0013004",40,40,65,FALSE,TRUE
"0013005",40,40,65,FALSE,TRUE
"0013006",40,40,65,FALSE,TRUE
"0013007",40,40,65,FALSE,TRUE
"0013009",40,40,65,FALSE,TRUE
"0013010",40,40,65,FALSE,TRUE
"0013016",40,40,65,FALSE,TRUE
"0014001",40,40,65,FALSE,TRUE
"0015001",40,40,65,FALSE,TRUE
"0017002",40,50,85,TRUE,TRUE
"0018001",40,50,85,TRUE,TRUE
"0018004",40,50,85,TRUE,TRUE
"0018005",40,50,85,TRUE,TRUE
"0019001",40,50,85,TRUE,TRUE
"0020001",40,50,85,TRUE,TRUE
"0021001",40,50,85,TRUE,TRUE
"0022001",40,50,85,TRUE,TRUE
"0022010",40,50,85,TRUE,TRUE
"0022012",40,50,85,TRUE,TRUE
"0022014",40,50,85,TRUE,TRUE
"0022015",40,50,85,TRUE,TRUE
"0023002",40,50,85,TRUE,TRUE
"0023003",40,50,85,TRUE,TRUE
"0023004",40,50,85,TRUE,TRUE
"0023005",40,50,85,TRUE,TRUE
"0024001",40,40,65,FALSE,TRUE
"0024002",40,40,65,FALSE,TRUE
"0024005",40,40,65,FALSE,TRUE
"0024006",40,40,65,FALSE,TRUE
"0024007",40,40,65,FALSE,TRUE
"0024009",40,40,65,FALSE,TRUE
"0024010",40,40,65,FALSE,TRUE
"0024011",40,40,65,FALSE,TRUE
"0024012",40,40,65,FALSE,TRUE
"0024015",40,40,65,FALSE,TRUE
"0024016",40,40,65,FALSE,TRUE
"0024017",40,40,65,FALSE,TRUE
"0024018",40,40,65,FALSE,TRUE
