Block,Lot,Use_Districts_Superseded,Use_Districts_Approved,Additional_Info_Split_Lots_Use,Height_Bulk_Superseded,Height_Bulk_Approved,Additional_Info_Split_Lots_Height,Special_Use_Districts_Approved,Coastal_Zone
0010,001,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0010,002,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0011,007,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0011,008,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0012,001,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0012,002,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0012,003,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0012,005,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0012,006,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0012,007,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0013,001,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0013,004,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0013,005,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0013,006,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0013,007,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0013,009,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0013,010,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0013,016,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0014,001,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0015,001,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0017,002,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0018,001,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0018,004,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0018,005,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0019,001,P,C-2,N/A,40-X,50//85-R-4,N/A,Non-Contiguous SFMTA Special Use District,N/A
0020,001,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0021,001,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0022,001,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0022,010,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0022,012,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0022,014,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0022,015,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0023,002,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0023,003,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0023,004,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0023,005,C-2,No change,N/A,40-X,50//85-R-4,N/A,N/A,N/A
0024,001,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,002,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,005,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,006,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,007,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,009,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,010,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,011,NC-1,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,012,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,015,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,016,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,017,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,018,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,019,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,020,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,021,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,022,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,024,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,025,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,032,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,035,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,038,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,041,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0024,044,NC-1,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,003,NC-1,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,004,NC-1,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,008,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,012,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,014,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,017,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,019,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,020,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,021,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,023,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,024,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,028,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,029,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,032,C-2,No change,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,039,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
0025,042,RH-3,RTO-C,N/A,40-X,40//65-R-4,N/A,N/A,N/A
